"","Model","AIC","deltaAIC","Selected"
"1","y ~ sectionmode * life_hist + total_length",687.874645502156,0,""
"2","y ~ uprivercut * life_hist + lengthcut",688.081437744404,0.206792242247843,""
"3","y ~ sectionmode * life_hist",688.640487534203,0.765842032046407,"***"
"4","y ~ sectionmode * life_hist + lengthcut",689.043585068241,1.16893956608487,""
"5","y ~ uprivercut * life_hist + total_length",689.428586559831,1.55394105767516,""
"6","y ~ uprivercut * life_hist",689.786504282072,1.91185877991586,""
"7","y ~ sectionmode * life_hist * total_length",692.533594653269,4.65894915111232,""
"8","y ~ uprivercut",693.389461355189,5.51481585303293,""
"9","y ~ sectionmode",693.664310562434,5.78966506027814,""
"10","y ~ sectionmode + total_length",693.86503796939,5.99039246723407,""
"11","y ~ uprivercut + total_length",693.999922338725,6.12527683656845,""
"12","y ~ uprivercut + lengthcut",694.066029051297,6.19138354914116,""
"13","y ~ uprivercut + life_hist",694.45575507151,6.58110956935354,""
"14","y ~ uprivercut + life_hist + total_length",694.759615492978,6.88496999082145,""
"15","y ~ sectionmode + life_hist + total_length",694.793143369845,6.9184978676891,""
"16","y ~ tagging_loc * life_hist + total_length",694.844004771627,6.96935926947117,""
"17","y ~ sectionmode + life_hist",694.876417411936,7.0017719097799,""
"18","y ~ uprivercut * life_hist * total_length",694.913676961799,7.03903145964307,""
"19","y ~ uprivercut + life_hist + lengthcut",695.145039806206,7.27039430404932,""
"20","y ~ tagging_loc * life_hist + lengthcut",695.265032895335,7.39038739317914,""
"21","y ~ sectionmode + lengthcut",695.549978965783,7.67533346362632,""
"22","y ~ sectionmode + life_hist + lengthcut",696.73671095186,8.86206544970366,""
"23","y ~ uprivercut + life_hist * total_length",696.739146905074,8.86450140291822,""
"24","y ~ sectionmode + life_hist * total_length",696.746911182325,8.87226568016843,""
"25","y ~ sectionmode * total_length",697.506489714513,9.63184421235633,""
"26","y ~ tagging_loc * life_hist",697.536397137797,9.66175163564071,""
"27","y ~ uprivercut * total_length",698.554180196566,10.6795346944094,""
"28","y ~ uprivercut + life_hist * lengthcut",700.394378578094,12.5197330759381,""
"29","y ~ tagging_loc + total_length",700.786977127058,12.9123316249018,""
"30","y ~ tagging_loc + life_hist + total_length",701.726331721838,13.8516862196818,""
"31","y ~ sectionmode * lengthcut",701.950156278622,14.0755107764655,""
"32","y ~ sectionmode + life_hist * lengthcut",701.984675419087,14.1100299169306,""
"33","y ~ tagging_loc * life_hist * total_length",702.223412097008,14.3487665948513,""
"34","y ~ tagging_loc + lengthcut",702.364211033902,14.4895655317459,""
"35","y ~ tagging_loc",702.717100689054,14.8424551868975,""
"36","y ~ avgupriver * life_hist + total_length",702.822666719528,14.948021217372,""
"37","y ~ sectionmode * life_hist * lengthcut",703.485565189676,15.6109196875196,""
"38","y ~ tagging_loc + life_hist * total_length",703.489601311117,15.6149558089603,""
"39","y ~ avgupriver * life_hist + lengthcut",703.495411715456,15.6207662132996,""
"40","y ~ tagging_loc + life_hist + lengthcut",703.573245914382,15.698600412226,""
"41","y ~ uprivercut * lengthcut",703.872517975413,15.9978724732565,""
"42","y ~ tagging_loc + life_hist",704.071225349761,16.1965798476048,""
"43","y ~ avgupriver * life_hist",704.46396469188,16.5893191897239,""
"44","y ~ tagging_loc * total_length",704.64803572356,16.7733902214035,""
"45","y ~ uprivercut * life_hist * lengthcut",706.611739998762,18.7370944966056,""
"46","y ~ avgupriver * life_hist * total_length",706.81308628287,18.9384407807134,""
"47","y ~ tagging_loc + life_hist * lengthcut",708.140117513364,20.265472011208,""
"48","y ~ tagging_loc * lengthcut",709.974708576275,22.1000630741183,""
"49","y ~ avgupriver + total_length",710.083943131614,22.2092976294579,""
"50","y ~ avgupriver + life_hist + total_length",710.235681325619,22.3610358234625,""
"51","y ~ avgupriver + life_hist * total_length",711.656574359195,23.7819288570389,""
"52","y ~ avgupriver + lengthcut",711.755459362014,23.880813859858,""
"53","y ~ avgupriver * total_length",712.077523377194,24.2028778750373,""
"54","y ~ avgupriver + life_hist + lengthcut",712.291054080628,24.4164085784714,""
"55","y ~ avgupriver",713.309978521542,25.4353330193854,""
"56","y ~ tagging_loc * life_hist * lengthcut",714.01128370858,26.1366382064242,""
"57","y ~ avgupriver + life_hist",714.044091297139,26.1694457949828,""
"58","y ~ avgupriver * life_hist * lengthcut",715.078010374778,27.2033648726215,""
"59","y ~ avgupriver * lengthcut",715.444563303276,27.56991780112,""
"60","y ~ avgupriver + life_hist * lengthcut",716.402699514477,28.5280540123213,""
"61","y ~ total_length",730.159525583063,42.284880080907,""
"62","y ~ life_hist + total_length",731.986594073659,44.1119485715026,""
"63","y ~ lengthcut",732.12337956044,44.2487340582834,""
"64","y ~ life_hist + lengthcut",733.820764150979,45.9461186488232,""
"65","y ~ life_hist * total_length",733.97399364111,46.0993481389539,""
"66","y ~ life_hist * lengthcut",738.696826916045,50.8221814138891,""
"67","y ~ life_hist",739.077419688545,51.202774186389,""
