"","Tagged - Lower","","","Tagged - Middle","","","Tagged - Upper","",""
"Section observed","Lower","Middle","Upper","Lower","Middle","Upper","Lower","Middle","Upper"
"1","0.7 (0.07)","0.3 (0.07)","0 (0)","0.14 (0.07)","0.83 (0.07)","0.03 (0.03)","0 (0)","0 (0)","1 (0)"
"2","0.82 (0.06)","0.18 (0.06)","0 (0)","0.16 (0.07)","0.81 (0.07)","0.03 (0.03)","0 (0)","0 (0)","1 (0)"
"3","1 (0)","0 (0)","0 (0)","0.17 (0.05)","0.83 (0.05)","0 (0)","0 (0)","0 (0)","1 (0)"
"4","0.92 (0.04)","0.08 (0.04)","0 (0)","0.16 (0.05)","0.81 (0.05)","0.03 (0.02)","0 (0)","0 (0)","1 (0)"
"5","0.95 (0.05)","0.05 (0.05)","0 (0)","0.12 (0.06)","0.81 (0.07)","0.06 (0.04)","0 (0)","0 (0)","1 (0)"
"6","0.89 (0.06)","0.11 (0.06)","0 (0)","0.03 (0.03)","0.94 (0.04)","0.03 (0.03)","0 (0)","0.03 (0.03)","0.97 (0.03)"
"7","0.64 (0.1)","0.36 (0.1)","0 (0)","0.07 (0.05)","0.93 (0.05)","0 (0)","0 (0)","0 (0)","1 (0)"
"8","0.72 (0.09)","0.28 (0.09)","0 (0)","0.07 (0.05)","0.89 (0.06)","0.04 (0.04)","0 (0)","0 (0)","1 (0)"
"9","0.78 (0.1)","0.22 (0.1)","0 (0)","0.07 (0.07)","0.93 (0.07)","0 (0)","0 (0)","0 (0)","1 (0)"
"10","0.93 (0.07)","0.07 (0.07)","0 (0)","0.17 (0.11)","0.75 (0.13)","0.08 (0.08)","0 (0)","0 (0)","1 (0)"
"11","0.88 (0.09)","0.12 (0.09)","0 (0)","0.18 (0.12)","0.82 (0.12)","0 (0)","0 (0)","0 (0)","1 (0)"
"12","0.6 (0.13)","0.4 (0.13)","0 (0)","0.07 (0.07)","0.93 (0.07)","0 (0)","0 (0)","0 (0)","1 (0)"
"13","0.57 (0.14)","0.43 (0.14)","0 (0)","0.27 (0.14)","0.73 (0.14)","0 (0)","0 (0)","0 (0)","1 (0)"
